"Имя","Категория","Количество","Материал","Материал.Имя","Материал.Плотность","Материал.Теплопроводность","Материал.Уникальный идентификатор","Номинальная высота","Номинальная длина","Номинальная толщина","Полная масса","Полная площадь","Полная площадь боковой поверхности слева","Полная площадь боковой поверхности справа","Полная площадь продольного сечения","Полный объём","Тип объекта","Толщина слоя","Уникальный идентификатор","Уровень","Чистая масса","Чистая площадь","Чистая площадь боковой поверхности слева","Чистая площадь боковой поверхности справа","Чистая площадь основания","Чистая площадь продольного сечения","Чистый объём"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","9562.0469636","200.0000000","13195.6248098","","28.6861409","28.6861409","28.6861409","5.7372282","Слой","200.0000000","29fc0ba5-65f2-8697-2bf1-504427c7c678","1","11394.9091972","","24.4910417","25.0520417","1.7124094","24.7715417","4.9543083"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","6769.0859376","200.0000000","9341.3385938","","20.3072578","20.3072578","20.3072578","4.0614516","Слой","200.0000000","bcfbd9c1-1ff4-8503-1b2e-f1a06132a0ae","1","8594.2715123","","19.0108732","19.0108732","1.3321354","18.4262861","3.7366398"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","9726.6060207","200.0000000","13422.7163086","","29.1798181","29.1798181","29.1798181","5.8359636","Слой","200.0000000","3c77026b-1304-8999-2e9f-54caae3a63cc","1","11607.2397486","","25.5136299","24.9526299","1.7453212","25.2331299","5.0466260"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","6869.4501653","200.0000000","9479.8412282","","20.6083505","20.6083505","20.6083505","4.1216701","Слой","200.0000000","9e4cbf5f-0768-8026-1b8c-1525d4f78af7","1","8863.6515483","","19.5493077","18.9883077","1.3738900","19.2688077","3.8537615"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","8055.6548967","200.0000000","11116.8037575","","24.1669647","24.1669647","24.1669647","4.8333929","Слой","200.0000000","7d6df92e-80b9-8742-121f-fef3ac85f93c","1","9032.3684875","","19.6355837","20.1965837","1.3462092","19.6355837","3.9271167"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14575.1600425","200.0000000","20424.2208587","","44.4004801","44.4004801","44.4004801","8.8800960","Слой","200.0000000","82a200bb-492a-8fc8-3f92-2eb50f009d9e","1","17779.8352950","","38.8333239","38.5086417","2.7150320","38.5086417","7.7303632"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14568.1272405","200.0000000","20104.0155918","","43.7043817","43.7043817","43.7043817","8.7408763","Слой","200.0000000","52ecd439-21ad-89d7-3f8b-42c5158810ff","1","17719.2428571","","38.1382043","38.8135969","2.7136254","38.8135969","7.7040186"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14969.8307846","200.0000000","20658.3664828","","44.9094924","44.9094924","44.9094924","8.9818985","Слой","200.0000000","cbca4df3-1413-8541-25af-b509140981f1","1","17794.8936531","","38.3403525","39.5897504","2.7289662","38.3403525","7.7369103"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","14639.3184887","200.0000000","20512.7595143","","44.5929555","44.5929555","44.5929555","8.9185911","Слой","200.0000000","d2a6b679-e7fe-88a9-0e73-3e34fbd73171","1","17857.8062758","","39.0132884","38.6746442","2.7278637","38.6746442","7.7642636"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","1302.5177192","200.0000000","898.7372263","","1.9537766","1.9537766","1.9537766","0.3907553","Слой","200.0000000","d31fea4c-4708-8b65-1e37-0e8432b1651a","1","781.9013868","","1.6997856","1.6997856","0.2605035","1.6997856","0.3399571"
"Слой 1 - Бетон: 100,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","2799.0882919","100.0000000","1931.3709214","","8.3972649","8.3972649","8.3972649","0.8397265","Слой","100.0000000","f982338b-25bc-8f39-35a0-af0e82e9e7d2","1","1177.9318115","","5.1214427","5.1214427","0.0699088","5.1214427","0.5121443"
"Слой 1 - Бетон: 50,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","1773.8434559","50.0000000","611.9759923","","5.3215304","5.3215304","5.3215304","0.2660765","Слой","50.0000000","00cec020-248b-81b6-089c-17d0d7387969","1","572.1975528","","4.9756309","4.9756309","0.0886922","4.9756309","0.2487815"
"Слой 1 - Бетон: 50,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","3000.0000000","1772.1158247","50.0000000","628.6299595","","5.4663475","5.4663475","5.4663475","0.2733174","Слой","50.0000000","d1add7b8-0ada-84e0-2f49-ef0e3f86afce","1","571.6402622","","4.9707849","4.9707849","0.0886058","4.9707849","0.2485392"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","1302.5177192","200.0000000","898.7372263","","1.9537766","1.9537766","1.9537766","0.3907553","Слой","200.0000000","d814ee98-25a8-8f89-0e85-9c9471df082e","1","781.9013868","","1.6997856","1.6997856","0.2605035","1.6997856","0.3399571"
"Слой 1 - Бетон: 200,00 мм","Слой стены","1","Бетон","Бетон","2300.0000000","2.3000000","b982f377-5ae2-41a0-8b8d-edc6809d0455","1500.0000000","3442.2303762","200.0000000","2375.1389596","","5.1633456","5.1633456","5.1633456","1.0326691","Слой","200.0000000","a6e805fd-b7f1-813d-3924-bb4eaa13a210","1","1629.2167484","","3.7814457","3.7921106","0.5100805","3.5311106","0.7083551"
