"Внутренняя площадь внутренней поверхности","Высота арки двери","Высота двери","Высота трапеции двери","Габаритная высота","Габаритная ширина","Глубина расположения двери","Имя","Имя родительского объекта","Категория","Количество","Марка","Марка родительского объекта","Наружная площадь внутренней поверхности","Ориентация заполнения двери","Относительная высота верха объекта","Относительная высота низа объекта","Периметр","Площадь","Площадь внутренней поверхности","Площадь остекления","Расположение дверного проёма","Смещение по вертикали","Смещение родительского объекта по вертикали","Стиль армирования","Стиль армирования.Имя","Стиль армирования.Уникальный идентификатор","Стиль двери","Стиль двери.Высота фрамуги","Стиль двери.Глубина коробки","Стиль двери.Глубина наличника","Стиль двери.Глубина полотна","Стиль двери.Имя","Стиль двери.Коробка","Стиль двери.Материал","Стиль двери.Материал.Имя","Стиль двери.Материал.Плотность","Стиль двери.Материал.Теплопроводность","Стиль двери.Материал.Уникальный идентификатор","Стиль двери.Наличники","Стиль двери.Порог","Стиль двери.Смещение полотна","Стиль двери.Тип фрамуги","Стиль двери.Толщина импоста","Стиль двери.Толщина коробки","Стиль двери.Толщина порога","Стиль двери.Уникальный идентификатор","Стиль двери.Ширина наличника","Тип объекта","Уникальный идентификатор","Уникальный идентификатор категории","Уникальный идентификатор родительского объекта","Уровень","Форма проёма двери","Ширина двери"
"1.1137500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Правая","5060.6129332","3010.6129332","5800.0000000","1.7425000","1.2375000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","2ec88b88-a87f-4aff-924d-2428b1c995b2","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Правая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","a1b4e19a-8018-4818-b590-9216a8c65458","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Правая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","b095330d-ff43-4976-a23b-ba32657d2bd0","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Левая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","1b145bec-4231-4808-a88b-6e1292e1b253","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Левая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","f26cc19a-cb81-43c4-8193-3087f4756232","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Левая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","98bff014-4ff9-4026-96a2-e08e80b709dd","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
"0.8750000","","1800.0000000","","1800.0000000","700.0000000","0.0000000","Дверь - My: 700,00 мм x 1 800,00 мм","","Дверь","1","","","0.1250000","Левая","4922.7306830","3122.7306830","5000.0000000","1.2600000","1.0000000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","61494be1-71dc-492f-adff-30f809b27a35","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","700.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Правая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","8d103fc1-c1c6-477b-8d28-c94a0074f1f5","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Правая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","2b5771a6-92b0-4a54-be27-767be6a769b8","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
"0.8662500","","2050.0000000","","2050.0000000","850.0000000","0.0000000","Дверь - My: 850,00 мм x 2 050,00 мм","","Дверь","1","","","0.1237500","Левая","5060.6129332","3010.6129332","5800.0000000","1.7425000","0.9900000","","Вдоль стены","0.0000000","","(нет)","(нет)","00000000-0000-0000-0000-000000000000","My","","","","50.0000000","My","Нет","Поливинилхлорид белый","Поливинилхлорид белый","1400.0000000","0.1600000","e58d7b56-1944-41da-b412-cc4da94cbdc8","Нет","Нет","0.0000000","(нет)","","","","b79668eb-13f6-43e9-888f-ee9db9811d72","","Дверь","aa1b35d7-303a-45c0-87d9-2215873d9196","80c34eed-5232-4cd7-8925-177ee02934d8","","1","Прямоугольный проём","850.0000000"
