"Высота стены","Имя","Имя родительского объекта","Количество","Марка","Марка родительского объекта","Многослойный материал","Многослойный материал.Имя","Многослойный материал.Уникальный идентификатор","Номинальная высота","Номинальная длина","Номинальная толщина","Общая длина арматурных стержней","Общая масса арматурных стержней","Относительная высота верха базовой линии объекта","Относительная высота верха объекта","Относительная высота низа базовой линии объекта","Относительная высота низа объекта","Полная масса","Полная площадь боковой поверхности слева","Полная площадь боковой поверхности справа","Полная площадь продольного сечения","Полный объём","Расположение стены относительно базовой линии","Смещение по вертикали","Смещение родительского объекта по вертикали","Смещение стены по горизонтали","Стиль армирования","Стиль армирования.Имя","Стиль армирования.Уникальный идентификатор","Тип объекта","Толщина стены","Уникальный идентификатор","Уникальный идентификатор родительского объекта","Уровень","Чистая масса","Чистая площадь боковой поверхности слева","Чистая площадь боковой поверхности справа","Чистая площадь основания","Чистая площадь продольного сечения","Чистый объём"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14575.1600425","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","20424.2208587","44.4004801","44.4004801","44.4004801","8.8800960","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","ed2f747c-a993-418d-acd8-fea3e387eaf9","","1","17779.8352950","38.8333239","38.5086417","2.7150320","38.5086417","7.7303632"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14568.1272405","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","20104.0155918","43.7043817","43.7043817","43.7043817","8.7408763","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","3d61a0fe-c114-4792-acc1-92d3f90f6798","","1","17719.2428571","38.1382043","38.8135969","2.7136254","38.8135969","7.7040186"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14969.8307846","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","20658.3664828","44.9094924","44.9094924","44.9094924","8.9818985","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","a4473934-f4aa-4b04-b6e5-651ff88ef696","","1","17794.8936531","38.3403525","39.5897504","2.7289662","38.3403525","7.7369103"
"3000.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","14639.3184887","200.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","20512.7595143","44.5929555","44.5929555","44.5929555","8.9185911","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","bd2bc2be-0747-46ec-9d39-ee2217504616","","1","17857.8062758","39.0132884","38.6746442","2.7278637","38.6746442","7.7642636"
"1500.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","1500.0000000","1302.5177192","200.0000000","0.0000000","0.0000000","1500.0000000","3000.0000000","1500.0000000","1500.0000000","898.7372263","1.9537766","1.9537766","1.9537766","0.3907553","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","bc929e8b-a7b1-4520-8d7d-de92de36127d","","1","781.9013868","1.6997856","1.6997856","0.2605035","1.6997856","0.3399571"
"1500.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","1500.0000000","3442.2303762","200.0000000","0.0000000","0.0000000","1500.0000000","3000.0000000","1500.0000000","1500.0000000","2375.1389596","5.1633456","5.1633456","5.1633456","1.0326691","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","c965713a-5748-4f78-aa6e-6b584694d577","","1","1629.2167484","3.7814457","3.7921106","0.5100805","3.5311106","0.7083551"
"3000.0000000","Стена: 100,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","2799.0882919","100.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","1931.3709214","8.3972649","8.3972649","8.3972649","0.8397265","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","100.0000000","960f474c-c505-417c-a6ea-7f186e6e90b5","","1","1177.9318115","5.1214427","5.1214427","0.0699088","5.1214427","0.5121443"
"3000.0000000","Стена: 50,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","1773.8434559","50.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","611.9759923","5.3215304","5.3215304","5.3215304","0.2660765","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","50.0000000","6f43b4e7-c432-4ff3-9bd6-c7c63bbf0e0e","","1","572.1975528","4.9756309","4.9756309","0.0886922","4.9756309","0.2487815"
"3000.0000000","Стена: 50,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","3000.0000000","1772.1158247","50.0000000","0.0000000","0.0000000","0.0000000","3000.0000000","0.0000000","0.0000000","628.6299595","5.4663475","5.4663475","5.4663475","0.2733174","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","50.0000000","be20a37f-ea63-4aa5-bc03-3f18d301d8a9","","1","571.6402622","4.9707849","4.9707849","0.0886058","4.9707849","0.2485392"
"1500.0000000","Стена: 200,00 мм","","1","","","Бетон","Бетон","22ad1f3b-8886-4418-ac48-7d9de29be0cf","1500.0000000","1302.5177192","200.0000000","0.0000000","0.0000000","1500.0000000","3000.0000000","1500.0000000","1500.0000000","898.7372263","1.9537766","1.9537766","1.9537766","0.3907553","По центру","0.0000000","","0.0000000","(нет)","(нет)","00000000-0000-0000-0000-000000000000","Стена","200.0000000","b7999a5f-c511-41cc-9dcf-4c829d587f49","","1","781.9013868","1.6997856","1.6997856","0.2605035","1.6997856","0.3399571"
