"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение осветительного прибора относительно оси","Смещение осветительного прибора по вертикали","Смещение осветительного прибора по горизонтали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль осветительного прибора","Стиль осветительного прибора.Имя","Стиль осветительного прибора.Категория","Стиль осветительного прибора.Материал","Стиль осветительного прибора.Материал.Имя","Стиль осветительного прибора.Материал.Плотность","Стиль осветительного прибора.Материал.Теплопроводность","Стиль осветительного прибора.Материал.Уникальный идентификатор","Стиль осветительного прибора.Уникальный идентификатор","Стиль осветительного прибора.Уникальный идентификатор категории","Тип объекта","Угол поворота осветительного прибора","Уникальный идентификатор","Уникальный идентификатор категории","Уровень"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","620df490-b854-44e2-819d-69325f25c59c","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","337db61a-6e6e-46f5-aa57-d916d5ccb2cc","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","c2d56c8d-1bc0-4d1a-85d7-64ce7169227c","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","bfebad5b-e5af-48ed-8ed4-4313b38d5119","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","ccae1a61-f140-4f7c-9b8b-ac72fe07f3ab","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","d74580b6-33ae-4659-b378-381dcac5d043","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","398b784d-0fca-4931-8f77-8cfd146cff04","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","021bf118-02a4-4134-964b-f0a3f6dafa0d","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","d2db1790-227f-4a0a-bb0d-6284370cb6f7","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
"Линейный светильник - Светильник OWP/R418 УХЛ3","Линейный светильник","Осветительная сеть","1","","110.0000000","595.0000000","595.0000000","5810.6129332","5700.6129332","По центру","0.0000000","0.0000000","","","","","","","Светильник OWP/R418 УХЛ3","Светильник OWP/R418 УХЛ3","Линейный светильник","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","895d8c31-b3b6-4bcd-8630-c9b5bc6941a8","4a1982c3-83d1-4f95-99bc-b207fbc04537","Осветительный прибор","0.0000000","5afea6d4-536b-45ff-99b9-3b089dd5fe9c","4a1982c3-83d1-4f95-99bc-b207fbc04537","2"
