"Имя","Категория","Категория системы","Количество","Марка","Номинальная высота","Номинальная длина","Номинальная ширина","Относительная высота верха объекта","Относительная высота низа объекта","Расположение электроустановочного изделия относительно оси","Смещение электроустановочного изделия по вертикали","Смещение электроустановочного изделия по горизонтали","Список систем","Список систем.Имя","Список систем.Категория","Список систем.Обозначение","Список систем.Уникальный идентификатор","Список систем.Уникальный идентификатор категории","Стиль электроустановочного изделия","Стиль электроустановочного изделия.Имя","Стиль электроустановочного изделия.Категория","Стиль электроустановочного изделия.Материал","Стиль электроустановочного изделия.Материал.Имя","Стиль электроустановочного изделия.Материал.Плотность","Стиль электроустановочного изделия.Материал.Теплопроводность","Стиль электроустановочного изделия.Материал.Уникальный идентификатор","Стиль электроустановочного изделия.Уникальный идентификатор","Стиль электроустановочного изделия.Уникальный идентификатор категории","Тип объекта","Угол поворота электроустановочного изделия","Уникальный идентификатор","Уникальный идентификатор категории","Уровень"
"Извещатель пламени - Извещатель пламени Спектрон-201","Извещатель пламени","Осветительная сеть","1","","118.1397275","94.1025404","70.0000000","4588.0705217","4493.9679813","По центру","0.0000000","0.0000000","","","","","","","Извещатель пламени Спектрон-201","Извещатель пламени Спектрон-201","Извещатель пламени","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","f23b3133-64a1-4628-a0ed-3653516f7406","d033e332-98a2-49de-88d7-103b4d773a03","Электроустановочное изделие","0.0000000","21dc9408-3998-4798-80d1-79c434b2f0c1","d033e332-98a2-49de-88d7-103b4d773a03","2"
"Извещатель пламени - Извещатель пламени Спектрон-201","Извещатель пламени","Осветительная сеть","1","","118.1397275","94.1025404","70.0000000","4550.8391104","4456.7365700","По центру","0.0000000","0.0000000","","","","","","","Извещатель пламени Спектрон-201","Извещатель пламени Спектрон-201","Извещатель пламени","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","f23b3133-64a1-4628-a0ed-3653516f7406","d033e332-98a2-49de-88d7-103b4d773a03","Электроустановочное изделие","0.0000000","ad6c8ab8-060c-4c4a-bc43-1fe2af244998","d033e332-98a2-49de-88d7-103b4d773a03","2"
"Ручной извещатель - Извещатель ручной ИПР 513-10","Ручной извещатель","Осветительная сеть","1","","43.0000000","85.0000000","88.0000000","4103.6184289","4018.6184289","По центру","0.0000000","0.0000000","","","","","","","Извещатель ручной ИПР 513-10","Извещатель ручной ИПР 513-10","Ручной извещатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","d2e4ea96-45bf-4dba-be84-c141b54a5dad","f7974ecb-948c-41cb-914f-31fb2431df03","Электроустановочное изделие","0.0000000","5439d022-40c1-4875-89a7-3e6d53b54ba1","f7974ecb-948c-41cb-914f-31fb2431df03","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4834.9474171","4754.9474171","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","2a11c75d-4857-417f-9e7c-ff086900804d","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4767.1096688","4687.1096688","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","a034d97d-3395-4e03-8db9-e48106835ac3","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4850.6448665","4770.6448665","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","f6f945be-c5f7-4921-a2b8-c5623f7a929f","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4548.5094501","4468.5094501","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","89dc08a5-0f1b-449c-81e1-d47a8c84a17b","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3853.7018520","3793.7018520","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","f5945362-8e12-4f02-8e33-762123e7e18d","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3897.8453246","3837.8453246","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","13c0cc2e-5e17-4ca2-a937-48185734f699","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3951.4157961","3891.4157961","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","51af46ff-e21a-4bde-ad21-39fffeccfb8b","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3864.8096703","3804.8096703","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","f934bb8a-3a55-486d-916d-24392c6aa5a8","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3815.5335523","3755.5335523","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","88d3b2ba-b0fe-485b-8659-be6357c2db05","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3878.9283175","3818.9283175","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","fb4dba32-af03-4286-9e88-44daff2369d4","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Выключатель - Выключатель А16-131","Выключатель","Осветительная сеть","1","","52.1912915","80.0000000","80.0000000","4619.9546542","4539.9546542","По центру","0.0000000","0.0000000","","","","","","","Выключатель А16-131","Выключатель А16-131","Выключатель","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","83d9d908-fab5-4a96-bef2-8e94b2943157","e76347cf-2e16-4367-a6b5-2f6c83450b65","Электроустановочное изделие","0.0000000","4c261af9-18cb-468e-a15a-1869526fc82d","e76347cf-2e16-4367-a6b5-2f6c83450b65","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3774.7973856","3714.7973856","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","5d225e59-ddff-4ada-b296-79317b138381","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3741.5095792","3681.5095792","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","29003f1f-1785-40eb-ac1b-6567420e7b77","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3634.3765972","3574.3765972","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","2f0f4d14-9f0e-4761-ba33-a784ef75b498","1c2bbe00-cc32-4d02-9507-a1be5130b13c","2"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3695.8190955","3635.8190955","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","458055c2-063b-4b66-957a-2e7cc34313fc","1c2bbe00-cc32-4d02-9507-a1be5130b13c","2"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3699.7996770","3639.7996770","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","58d74e7b-29d1-4bd7-9cd3-ae0b995de7f0","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
"Розетка - Розетка штепсельная RA16-238","Розетка","Силовая сеть","1","","40.0000000","60.0000000","130.0000000","3543.2793216","3483.2793216","По центру","0.0000000","0.0000000","","","","","","","Розетка штепсельная RA16-238","Розетка штепсельная RA16-238","Розетка","(нет)","(нет)","0.7000000","0.7000000","00000000-0000-0000-0000-000000000000","92b7ae48-fd5a-4ba4-8a30-54328b77df8a","1c2bbe00-cc32-4d02-9507-a1be5130b13c","Электроустановочное изделие","0.0000000","3cbe86c0-1271-45d2-a9c0-635db851ed0d","1c2bbe00-cc32-4d02-9507-a1be5130b13c","1"
